Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
TPHJU3,Teknologi- og industrifag,TPHJU3 - Hjulutrustningsfaget,47.0,35.0,31.0
TPIME3,Teknologi- og industrifag,TPIME3 - Industrimekanikerfaget,1186.0,1263.0,1380.0
TPIMO3,Teknologi- og industrifag,TPIMO3 - Industrimontørfaget,264.0,251.0,299.0
TPIOM3,Teknologi- og industrifag,TPIOM3 - Industrioppmålingsfaget,7.0,7.0,4.0
TPIOV3,Teknologi- og industrifag,TPIOV3 - Industriell overflatebehandling,26.0,26.0,30.0
TPIRL3,Teknologi- og industrifag,TPIRL3 - Industrirørleggerfaget,226.0,212.0,223.0
TPISM3,Teknologi- og industrifag,TPISM3 - Industrisømfaget,8.0,3.0,
TPISN3,Teknologi- og industrifag,TPISN3 - Industrisnekkerfaget,6.0,3.0,4.0
TPITA3,Teknologi- og industrifag,TPITA3 - Industritapetsererfaget,1.0,0.0,2.0
TPITF3,Teknologi- og industrifag,TPITF3 - Industritekstilfaget,3.0,9.0,10.0
TPITR3,Teknologi- og industrifag,"TPITR3 - Industritekstilfaget, trikotasje",1.0,1.0,
TPKAR3,Teknologi- og industrifag,TPKAR3 - Chassispåbyggerfaget,10.0,11.0,10.0
TPKJP3,Teknologi- og industrifag,TPKJP3 - Kjemiprosessfaget,905.0,962.0,978.0
TPKLO3,Teknologi- og industrifag,TPKLO3 - Kran- og løfteoperasjonsfaget,41.0,45.0,53.0
TPLAB3,Teknologi- og industrifag,TPLAB3 - Laboratoriefaget,85.0,92.0,83.0
TPLMM3,Teknologi- og industrifag,TPLMM3 - Landbruksmaskinmekanikerfaget,192.0,187.0,216.0
TPLOG3,Teknologi- og industrifag,TPLOG3 - Logistikkfaget,137.0,341.0,466.0
TPLSF3,Teknologi- og industrifag,TPLSF3 - Låsesmedfaget,61.0,26.0,5.0
TPMME3,Teknologi- og industrifag,TPMME3 - Motormekanikerfaget,70.0,70.0,67.0
TPMOB3,Teknologi- og industrifag,TPMOB3 - Modellbyggerfaget,0.0,1.0,2.0
TPMOM3,Teknologi- og industrifag,TPMOM3 - Motormannfaget,245.0,16.0,1.0
TPMSY3,Teknologi- og industrifag,TPMSY3 - Motorsykkelfaget,44.0,52.0,37.0
TPMTS3,Teknologi- og industrifag,TPMTS3 - Matrosfaget,810.0,856.0,975.0
TPNDT3,Teknologi- og industrifag,TPNDT3 - NDT-kontrollørfaget,37.0,44.0,56.0
TPPLA3,Teknologi- og industrifag,TPPLA3 - Platearbeiderfaget,314.0,321.0,334.0
TPPLF3,Teknologi- og industrifag,TPPLF3 - Plastfaget,6.0,26.0,28.0
TPPLM3,Teknologi- og industrifag,TPPLM3 - Plastmekanikerfaget,17.0,7.0,1.0
TPPOM3,Teknologi- og industrifag,TPPOM3 - Polymerkomposittfaget,32.0,30.0,27.0
TPPRT3,Teknologi- og industrifag,TPPRT3 - Produksjonsteknikkfaget,432.0,419.0,409.0
TPRSD3,Teknologi- og industrifag,TPRSD3 - Reservedelsfaget,184.0,168.0,157.0
TPSMK3,Teknologi- og industrifag,TPSMK3 - Skipsmotormekanikerfaget,247.0,514.0,554.0
TPSVE3,Teknologi- og industrifag,TPSVE3 - Sveisefaget,277.0,265.0,325.0
TPSYM3,Teknologi- og industrifag,TPSYM3 - Sykkelmekanikerfaget,,,1.0
TPTEP3,Teknologi- og industrifag,TPTEP3 - Termoplastfaget,3.0,,
TPTLM3,Teknologi- og industrifag,TPTLM3 - Truck- og liftmekanikerfaget,13.0,23.0,26.0
TPTSR3,Teknologi- og industrifag,TPTSR3 - Tekstilrensfaget,,1.0,2.0
TPVAF3,Teknologi- og industrifag,TPVAF3 - Vaskerifaget,,1.0,4.0
TPVAS3,Teknologi- og industrifag,TPVAS3 - Vaskerifaget,3.0,,
TPVER3,Teknologi- og industrifag,TPVER3 - Verktøymakerfaget,10.0,14.0,18.0
TPYRK3,Teknologi- og industrifag,TPYRK3 - Yrkessjåførfaget,364.0,851.0,1092.0
